Type,Track Title,Artist,Album,Release Year,Spotify URL,Spotify ID,Has Lyrics,Match Confidence,Local Title,Duration (ms),Explicit,Preview URL,Notes
"With Lyrics","All the Answers","Ilse DeLange","Here I Am (1998-2003)","2003","https://open.spotify.com/track/40WLwE3BBevSuyaSAVFs8d","40WLwE3BBevSuyaSAVFs8d","Yes","partial","There for a Moment","296986","No","",""
"With Lyrics","All the Answers - Live","Ilse DeLange","Here I Am (1998-2003)","2003","https://open.spotify.com/track/0rSydWjyCCYae3MJwv8Lhl","0rSydWjyCCYae3MJwv8Lhl","Yes","partial","There for a Moment","302426","No","",""
"With Lyrics","Always Overcome","Ilse DeLange","Livin' On Love","2000","https://open.spotify.com/track/6kMNQl8KOgGnrKuxSL1Ye7","6kMNQl8KOgGnrKuxSL1Ye7","Yes","exact","Always overcome","288693","No","",""
"With Lyrics","As If Only","The Common Linnets","II","2015","https://open.spotify.com/track/4NUUGnvPUiqH3Gotgiij0D","4NUUGnvPUiqH3Gotgiij0D","Yes","exact","","221320","No","",""
"With Lyrics","Blue Bittersweet","Ilse DeLange","After The Hurricane - Greatest Hits & More","2013","https://open.spotify.com/track/31MtA1bmM3PsiAX1sur7rM","31MtA1bmM3PsiAX1sur7rM","Yes","exact","","270200","No","",""
"With Lyrics","Breathe In, Breathe Out","Ilse DeLange","Livin' On Love","2000","https://open.spotify.com/track/4aQFhUm8JbhmuAjtg8J4gR","4aQFhUm8JbhmuAjtg8J4gR","Yes","partial","Man In The Moon","295693","No","",""
"With Lyrics","Building Bridges - Live","Ilse DeLange","Building Bridges (Live)","2019","https://open.spotify.com/track/78D3kYg8XwIeMSKWajLFh9","78D3kYg8XwIeMSKWajLFh9","Yes","partial","Here I am","167306","No","",""
"With Lyrics","Calm After The Storm","The Common Linnets","The Common Linnets (Special Edition)","2014","https://open.spotify.com/track/04CTTh6AIzuPGPW2GO9hoF","04CTTh6AIzuPGPW2GO9hoF","Yes","exact","Calm after the storm","212693","No","",""
"With Lyrics","Calm After The Storm - Acoustic","The Common Linnets","The Common Linnets (Special Edition)","2014","https://open.spotify.com/track/7F4FTZ3zmpPSILwrwxFDYp","7F4FTZ3zmpPSILwrwxFDYp","Yes","partial","Calm after the storm","213813","No","",""
"With Lyrics","Christmas Around Me","The Common Linnets","The Common Linnets (Special Edition)","2014","https://open.spotify.com/track/6lC7PGSkhtnEykKakCYhUY","6lC7PGSkhtnEykKakCYhUY","Yes","exact","Christmas around me","179840","No","",""
"With Lyrics","Dance On The Heartbreak","Ilse DeLange","Eye Of The Hurricane","2012","https://open.spotify.com/track/50CZL7kkzzeR9B6M2SGDJB","50CZL7kkzzeR9B6M2SGDJB","Yes","exact","","228000","No","",""
"With Lyrics","Days Of Endless Time","The Common Linnets","II","2015","https://open.spotify.com/track/4yXxcxjlDZjy2xh3sNpwjF","4yXxcxjlDZjy2xh3sNpwjF","Yes","exact","Days of endless time","206400","No","",""
"With Lyrics","Don't You Let Go Of Me","Ilse DeLange","The Great Escape","2006","https://open.spotify.com/track/28Cfpl0PMWpEeyyBahfU7H","28Cfpl0PMWpEeyyBahfU7H","Yes","exact","Don't you let go of me","304293","No","",""
"With Lyrics","Don't You Let Go Of Me - Live @ HMH","Ilse DeLange","Live in Amsterdam","2007","https://open.spotify.com/track/0hCP9I18AuUiMtj0tYafYb","0hCP9I18AuUiMtj0tYafYb","Yes","partial","Don't you let go of me","300786","No","",""
"With Lyrics","Dust Of Oklahoma","The Common Linnets","II","2015","https://open.spotify.com/track/1smLGi6FlwbVyw5A4dNMCy","1smLGi6FlwbVyw5A4dNMCy","Yes","exact","Dust of Oklahoma","238600","No","",""
"With Lyrics","Eyes Straight Ahead","Ilse DeLange","Live In Gelredome","2011","https://open.spotify.com/track/1zlgzEp09UQ8pJJeq2Ca8G","1zlgzEp09UQ8pJJeq2Ca8G","Yes","exact","Eyes straight ahead","208200","No","",""
"With Lyrics","Fall","Ilse DeLange","Incredible (Platinum Edition)","2009","https://open.spotify.com/track/1iQDg1MreKTt1XGaIh8L91","1iQDg1MreKTt1XGaIh8L91","Yes","exact","","213493","No","",""
"With Lyrics","Far Away","Ilse DeLange","The Great Escape","2006","https://open.spotify.com/track/4t1C4Kf0dNUlJBqhX86Xlh","4t1C4Kf0dNUlJBqhX86Xlh","Yes","exact","Far away","262146","No","",""
"With Lyrics","Flying Blind","Ilse DeLange","Live In Gelredome","2011","https://open.spotify.com/track/2WHXwwKocyAsPjifgiROb5","2WHXwwKocyAsPjifgiROb5","Yes","exact","","313920","No","",""
"With Lyrics","Flying Blind - Live @ HMH","Ilse DeLange","Live in Amsterdam","2007","https://open.spotify.com/track/5J1kPCA0wn9pdLq5lYIeLF","5J1kPCA0wn9pdLq5lYIeLF","Yes","partial","Here I am","293173","No","",""
"With Lyrics","Flying Solo","Ilse DeLange","World Of Hurt","1998","https://open.spotify.com/track/1Qvdfmmiu1LzCwyjaY0vMc","1Qvdfmmiu1LzCwyjaY0vMc","Yes","exact","","245026","No","",""
"With Lyrics","Give Me A Reason","The Common Linnets","The Common Linnets (Special Edition)","2014","https://open.spotify.com/track/6sioPXWs1sExMUfe5Ztzhf","6sioPXWs1sExMUfe5Ztzhf","Yes","exact","Give me a reason","221560","No","",""
"With Lyrics","Half The Love - Acoustic","Ilse DeLange","Half The Love (Acoustic)","2019","https://open.spotify.com/track/3P6MDyMacqafcm5LCX8voj","3P6MDyMacqafcm5LCX8voj","Yes","partial","There for a Moment","200388","No","",""
"With Lyrics","Have a Little Faith in Me","Ilse DeLange","Here I Am (1998-2003)","2003","https://open.spotify.com/track/7pJjsqvYY7dxZ9dnpfkp3A","7pJjsqvYY7dxZ9dnpfkp3A","Yes","partial","Forgive Me If I Seem a Little Careless","249373","No","",""
"With Lyrics","Have A Little Faith In Me - Live @ HMH","Ilse DeLange","Live in Amsterdam","2007","https://open.spotify.com/track/4WUORNOhyIkVZ3JUulfvW4","4WUORNOhyIkVZ3JUulfvW4","Yes","partial","Forgive Me If I Seem a Little Careless","269653","No","",""
"With Lyrics","Hearts On Fire","The Common Linnets","II","2015","https://open.spotify.com/track/7AfrTT0sdzdjXGfdnuO3WO","7AfrTT0sdzdjXGfdnuO3WO","Yes","exact","Hearts on fire","226213","No","",""
"With Lyrics","Here I Am","Ilse DeLange","Clean Up","2003","https://open.spotify.com/track/0wXGhwM9xyMXdyvO64RySX","0wXGhwM9xyMXdyvO64RySX","Yes","exact","Here I am","268306","No","",""
"With Lyrics","Hungry Hands","The Common Linnets","The Common Linnets (Special Edition)","2014","https://open.spotify.com/track/0ctWDffIiqimp7zRGaUII3","0ctWDffIiqimp7zRGaUII3","Yes","exact","Hungry hands","232986","No","",""
"With Lyrics","Hurricane","Ilse DeLange","Eye Of The Hurricane","2012","https://open.spotify.com/track/00Bv39YTHzifxp6jlvwXMB","00Bv39YTHzifxp6jlvwXMB","Yes","exact","","227213","No","",""
"With Lyrics","I Always Will","Ilse DeLange","The Great Escape","2006","https://open.spotify.com/track/6MvytovGO8D0RzrNAd5hre","6MvytovGO8D0RzrNAd5hre","Yes","exact","I always will","316973","No","",""
"With Lyrics","I Love You - Live","Ilse DeLange","I Love You (Live at Gelredome)","2007","https://open.spotify.com/track/4kcUB3fpEPOB6y627HlVaM","4kcUB3fpEPOB6y627HlVaM","Yes","partial","I need for you","259586","No","",""
"With Lyrics","I Need For You","Ilse DeLange","Eye Of The Hurricane","2012","https://open.spotify.com/track/4FQpd0oD2WlWXDVDHNQeZc","4FQpd0oD2WlWXDVDHNQeZc","Yes","exact","I need for you","277266","No","",""
"With Lyrics","I Will Help You","Ilse DeLange","I Will Help You","2021","https://open.spotify.com/track/6bRaiUdJD2EEvONF6fUmeE","6bRaiUdJD2EEvONF6fUmeE","Yes","partial","I need for you","209292","No","",""
"With Lyrics","I'd Be Yours","Ilse DeLange","Live In Gelredome","2011","https://open.spotify.com/track/62RbtGhUU5qBiq02Dsq5VB","62RbtGhUU5qBiq02Dsq5VB","Yes","exact","I'd be yours","192453","No","",""
"With Lyrics","I'd Be Yours - Radio Mix","Ilse DeLange","Here I Am (1998-2003)","2003","https://open.spotify.com/track/5srQEnGdZuP6ZbdDXKMuwT","5srQEnGdZuP6ZbdDXKMuwT","Yes","partial","I need for you","164440","No","",""
"With Lyrics","I'll Know","Ilse DeLange","After The Hurricane - Greatest Hits & More","2013","https://open.spotify.com/track/4qCnqdMu48hOA078uTL4bp","4qCnqdMu48hOA078uTL4bp","Yes","exact","I'll know","224426","No","",""
"With Lyrics","In Your Eyes","The Common Linnets","II","2015","https://open.spotify.com/track/1d2bbBJDTrD2CGeI7iUn7o","1d2bbBJDTrD2CGeI7iUn7o","Yes","exact","In your eyes","205400","No","",""
"With Lyrics","Indigo Moon","The Common Linnets","II","2015","https://open.spotify.com/track/5W9U9vIPfGScgaWeFCYrDT","5W9U9vIPfGScgaWeFCYrDT","Yes","exact","Indigo moon","214720","No","",""
"With Lyrics","Just Like the Moon","Ilse DeLange","World Of Hurt","1998","https://open.spotify.com/track/6jAcQQtWghRO552P0pyRL6","6jAcQQtWghRO552P0pyRL6","Yes","exact","Just like the moon","230573","No","",""
"With Lyrics","Let Go","Ilse DeLange","Here I Am (1998-2003)","2003","https://open.spotify.com/track/5rJrRINeXLevFA5kbY766W","5rJrRINeXLevFA5kbY766W","Yes","exact","Let go","227386","No","",""
